,o,h,l,c,time
0,108.234,108.234,108.234,108.234,2019-07-24T00:00:00.000000000Z
1,108.232,108.232,108.232,108.232,2019-07-24T00:00:10.000000000Z
2,108.234,108.234,108.232,108.232,2019-07-24T00:00:20.000000000Z
3,108.234,108.234,108.234,108.234,2019-07-24T00:00:35.000000000Z
4,108.236,108.236,108.234,108.234,2019-07-24T00:00:40.000000000Z
5,108.236,108.236,108.236,108.236,2019-07-24T00:00:45.000000000Z
6,108.238,108.238,108.238,108.238,2019-07-24T00:00:50.000000000Z
7,108.236,108.236,108.232,108.232,2019-07-24T00:01:00.000000000Z
8,108.229,108.232,108.229,108.232,2019-07-24T00:01:05.000000000Z
9,108.229,108.229,108.226,108.226,2019-07-24T00:01:20.000000000Z
10,108.228,108.228,108.228,108.228,2019-07-24T00:01:25.000000000Z
11,108.230,108.233,108.230,108.233,2019-07-24T00:01:30.000000000Z
12,108.236,108.236,108.236,108.236,2019-07-24T00:01:35.000000000Z
13,108.234,108.234,108.234,108.234,2019-07-24T00:01:40.000000000Z
14,108.236,108.236,108.236,108.236,2019-07-24T00:01:45.000000000Z
15,108.234,108.234,108.234,108.234,2019-07-24T00:01:50.000000000Z
16,108.230,108.230,108.230,108.230,2019-07-24T00:02:05.000000000Z
17,108.233,108.233,108.233,108.233,2019-07-24T00:02:10.000000000Z
18,108.236,108.258,108.236,108.254,2019-07-24T00:02:20.000000000Z
19,108.256,108.258,108.254,108.258,2019-07-24T00:02:25.000000000Z
20,108.260,108.260,108.258,108.258,2019-07-24T00:02:30.000000000Z
21,108.260,108.260,108.260,108.260,2019-07-24T00:02:35.000000000Z
22,108.263,108.268,108.263,108.268,2019-07-24T00:02:40.000000000Z
23,108.271,108.276,108.271,108.272,2019-07-24T00:02:45.000000000Z
24,108.270,108.272,108.270,108.272,2019-07-24T00:02:50.000000000Z
25,108.270,108.270,108.270,108.270,2019-07-24T00:02:55.000000000Z
26,108.267,108.267,108.262,108.262,2019-07-24T00:03:00.000000000Z
27,108.264,108.264,108.264,108.264,2019-07-24T00:03:15.000000000Z
28,108.262,108.262,108.259,108.259,2019-07-24T00:03:20.000000000Z
29,108.256,108.256,108.254,108.254,2019-07-24T00:03:25.000000000Z
30,108.256,108.259,108.256,108.259,2019-07-24T00:03:30.000000000Z
31,108.256,108.258,108.256,108.256,2019-07-24T00:03:35.000000000Z
32,108.252,108.253,108.248,108.253,2019-07-24T00:03:40.000000000Z
33,108.256,108.256,108.256,108.256,2019-07-24T00:03:45.000000000Z
34,108.258,108.258,108.258,108.258,2019-07-24T00:03:50.000000000Z
35,108.260,108.265,108.260,108.265,2019-07-24T00:03:55.000000000Z
36,108.262,108.265,108.262,108.265,2019-07-24T00:04:00.000000000Z
37,108.262,108.262,108.262,108.262,2019-07-24T00:04:05.000000000Z
38,108.260,108.260,108.260,108.260,2019-07-24T00:04:10.000000000Z
39,108.262,108.262,108.262,108.262,2019-07-24T00:04:15.000000000Z
40,108.260,108.260,108.258,108.260,2019-07-24T00:04:30.000000000Z
41,108.258,108.258,108.258,108.258,2019-07-24T00:05:00.000000000Z
42,108.260,108.260,108.258,108.258,2019-07-24T00:05:05.000000000Z
43,108.255,108.255,108.249,108.249,2019-07-24T00:05:15.000000000Z
44,108.252,108.252,108.248,108.249,2019-07-24T00:05:20.000000000Z
45,108.251,108.251,108.251,108.251,2019-07-24T00:05:25.000000000Z
46,108.248,108.248,108.246,108.246,2019-07-24T00:05:30.000000000Z
47,108.248,108.248,108.248,108.248,2019-07-24T00:05:35.000000000Z
48,108.246,108.248,108.246,108.248,2019-07-24T00:05:40.000000000Z
49,108.251,108.251,108.251,108.251,2019-07-24T00:05:45.000000000Z
50,108.254,108.254,108.251,108.251,2019-07-24T00:05:50.000000000Z
51,108.249,108.249,108.246,108.248,2019-07-24T00:05:55.000000000Z
52,108.251,108.251,108.248,108.248,2019-07-24T00:06:00.000000000Z
53,108.251,108.251,108.249,108.249,2019-07-24T00:06:05.000000000Z
54,108.251,108.251,108.248,108.248,2019-07-24T00:06:15.000000000Z
55,108.246,108.246,108.246,108.246,2019-07-24T00:06:20.000000000Z
56,108.249,108.249,108.244,108.244,2019-07-24T00:06:25.000000000Z
57,108.246,108.248,108.246,108.248,2019-07-24T00:06:30.000000000Z
58,108.246,108.246,108.243,108.243,2019-07-24T00:06:40.000000000Z
59,108.245,108.245,108.245,108.245,2019-07-24T00:06:45.000000000Z
60,108.243,108.243,108.240,108.243,2019-07-24T00:06:50.000000000Z
61,108.240,108.240,108.238,108.238,2019-07-24T00:07:00.000000000Z
62,108.240,108.240,108.240,108.240,2019-07-24T00:07:05.000000000Z
63,108.238,108.238,108.235,108.235,2019-07-24T00:07:10.000000000Z
64,108.238,108.238,108.238,108.238,2019-07-24T00:07:15.000000000Z
65,108.236,108.236,108.236,108.236,2019-07-24T00:07:20.000000000Z
66,108.238,108.238,108.238,108.238,2019-07-24T00:07:25.000000000Z
67,108.236,108.236,108.236,108.236,2019-07-24T00:07:30.000000000Z
68,108.238,108.241,108.238,108.241,2019-07-24T00:07:40.000000000Z
69,108.244,108.244,108.241,108.241,2019-07-24T00:07:45.000000000Z
70,108.238,108.238,108.238,108.238,2019-07-24T00:08:00.000000000Z
71,108.241,108.241,108.241,108.241,2019-07-24T00:08:15.000000000Z
72,108.238,108.241,108.238,108.241,2019-07-24T00:08:20.000000000Z
73,108.238,108.238,108.238,108.238,2019-07-24T00:08:25.000000000Z
74,108.241,108.241,108.238,108.238,2019-07-24T00:08:45.000000000Z
75,108.236,108.236,108.233,108.233,2019-07-24T00:09:00.000000000Z
76,108.236,108.238,108.236,108.238,2019-07-24T00:09:05.000000000Z
77,108.236,108.239,108.234,108.239,2019-07-24T00:09:10.000000000Z
78,108.237,108.237,108.237,108.237,2019-07-24T00:09:20.000000000Z
79,108.234,108.234,108.234,108.234,2019-07-24T00:09:25.000000000Z
80,108.232,108.232,108.232,108.232,2019-07-24T00:09:30.000000000Z
81,108.235,108.235,108.235,108.235,2019-07-24T00:09:40.000000000Z
82,108.232,108.232,108.232,108.232,2019-07-24T00:10:00.000000000Z
83,108.230,108.230,108.226,108.226,2019-07-24T00:10:10.000000000Z
84,108.228,108.236,108.228,108.236,2019-07-24T00:10:15.000000000Z
85,108.233,108.233,108.233,108.233,2019-07-24T00:10:30.000000000Z
86,108.236,108.236,108.236,108.236,2019-07-24T00:10:35.000000000Z
87,108.238,108.238,108.238,108.238,2019-07-24T00:10:40.000000000Z
88,108.236,108.236,108.236,108.236,2019-07-24T00:10:55.000000000Z
89,108.234,108.234,108.232,108.234,2019-07-24T00:11:00.000000000Z
90,108.232,108.234,108.232,108.234,2019-07-24T00:11:05.000000000Z
91,108.237,108.239,108.237,108.239,2019-07-24T00:11:25.000000000Z
92,108.237,108.237,108.237,108.237,2019-07-24T00:11:30.000000000Z
93,108.239,108.239,108.239,108.239,2019-07-24T00:11:50.000000000Z
94,108.237,108.237,108.237,108.237,2019-07-24T00:12:00.000000000Z
95,108.239,108.239,108.239,108.239,2019-07-24T00:12:10.000000000Z
96,108.237,108.237,108.237,108.237,2019-07-24T00:12:20.000000000Z
97,108.239,108.244,108.239,108.244,2019-07-24T00:12:45.000000000Z
98,108.241,108.241,108.238,108.240,2019-07-24T00:13:00.000000000Z
99,108.238,108.238,108.238,108.238,2019-07-24T00:13:05.000000000Z
100,108.235,108.235,108.232,108.232,2019-07-24T00:13:10.000000000Z
101,108.229,108.229,108.229,108.229,2019-07-24T00:13:20.000000000Z
102,108.232,108.232,108.229,108.229,2019-07-24T00:13:25.000000000Z
103,108.226,108.226,108.216,108.216,2019-07-24T00:13:30.000000000Z
104,108.212,108.218,108.212,108.218,2019-07-24T00:13:35.000000000Z
105,108.216,108.218,108.214,108.218,2019-07-24T00:13:40.000000000Z
106,108.220,108.223,108.220,108.223,2019-07-24T00:13:45.000000000Z
107,108.226,108.228,108.226,108.226,2019-07-24T00:13:50.000000000Z
108,108.229,108.229,108.229,108.229,2019-07-24T00:13:55.000000000Z
109,108.226,108.226,108.226,108.226,2019-07-24T00:14:00.000000000Z
110,108.224,108.224,108.224,108.224,2019-07-24T00:14:10.000000000Z
111,108.226,108.228,108.226,108.228,2019-07-24T00:14:20.000000000Z
112,108.226,108.226,108.224,108.226,2019-07-24T00:14:25.000000000Z
113,108.224,108.224,108.224,108.224,2019-07-24T00:14:30.000000000Z
114,108.226,108.226,108.220,108.220,2019-07-24T00:14:40.000000000Z
115,108.218,108.218,108.212,108.212,2019-07-24T00:14:45.000000000Z
116,108.210,108.213,108.210,108.213,2019-07-24T00:14:50.000000000Z
117,108.210,108.212,108.210,108.212,2019-07-24T00:14:55.000000000Z
118,108.210,108.210,108.210,108.210,2019-07-24T00:15:00.000000000Z
119,108.208,108.208,108.208,108.208,2019-07-24T00:15:05.000000000Z
120,108.206,108.206,108.204,108.206,2019-07-24T00:15:10.000000000Z
121,108.208,108.208,108.193,108.193,2019-07-24T00:15:20.000000000Z
122,108.196,108.196,108.187,108.190,2019-07-24T00:15:25.000000000Z
123,108.188,108.190,108.188,108.190,2019-07-24T00:15:30.000000000Z
124,108.188,108.188,108.188,108.188,2019-07-24T00:15:35.000000000Z
125,108.190,108.190,108.190,108.190,2019-07-24T00:15:40.000000000Z
126,108.192,108.197,108.192,108.195,2019-07-24T00:15:45.000000000Z
127,108.197,108.200,108.197,108.200,2019-07-24T00:15:50.000000000Z
128,108.198,108.198,108.195,108.195,2019-07-24T00:15:55.000000000Z
129,108.192,108.192,108.187,108.187,2019-07-24T00:16:00.000000000Z
130,108.190,108.190,108.190,108.190,2019-07-24T00:16:05.000000000Z
131,108.192,108.197,108.192,108.197,2019-07-24T00:16:10.000000000Z
132,108.200,108.200,108.200,108.200,2019-07-24T00:16:15.000000000Z
133,108.202,108.205,108.202,108.205,2019-07-24T00:16:20.000000000Z
134,108.202,108.205,108.202,108.205,2019-07-24T00:16:25.000000000Z
135,108.202,108.202,108.198,108.202,2019-07-24T00:16:30.000000000Z
136,108.200,108.208,108.200,108.208,2019-07-24T00:16:40.000000000Z
137,108.205,108.205,108.205,108.205,2019-07-24T00:16:45.000000000Z
138,108.208,108.212,108.208,108.212,2019-07-24T00:17:10.000000000Z
139,108.210,108.210,108.210,108.210,2019-07-24T00:17:15.000000000Z
140,108.212,108.214,108.212,108.214,2019-07-24T00:17:25.000000000Z
141,108.212,108.212,108.212,108.212,2019-07-24T00:17:45.000000000Z
142,108.214,108.214,108.214,108.214,2019-07-24T00:17:55.000000000Z
143,108.212,108.212,108.212,108.212,2019-07-24T00:18:40.000000000Z
144,108.214,108.214,108.214,108.214,2019-07-24T00:18:55.000000000Z
145,108.217,108.217,108.217,108.217,2019-07-24T00:19:15.000000000Z
146,108.214,108.214,108.214,108.214,2019-07-24T00:19:25.000000000Z
147,108.217,108.217,108.217,108.217,2019-07-24T00:19:30.000000000Z
148,108.220,108.220,108.220,108.220,2019-07-24T00:19:35.000000000Z
149,108.222,108.224,108.222,108.224,2019-07-24T00:19:40.000000000Z
